HS CODE	DESCRIPTION  / KEYWORD
190531	Toasted bread
200110	Onion
200110	Tomato
200190	Chinese parsley
200190	Fruit
200190	Garbanzos
200190	Leaf chervils
200190	Leaf chervils
200190	Spinach
200190	Truffle
200190	Ve
200290	Tomato
200310	Mushroom
200490	Brussel sprout
200520	Potato chips
200710	Fruit jelly
200710	Fruit paste
200710	Jam
200819	Cashew butter
200819	Macadamia butter
200819	Walnut butter
200891	Palm heart
200891	Palm heart
200899	Ginseng
200899	Raisins
200989	Juice
210111	Aromatic essence
210111	Aromatic essence
210111	Coffee concentrates
210230	Active yeast
210230	Active yeast
210230	Baking powder
210230	Inactive yeast
210310	Tomato ketchup
210310	Tomato sauces
210610	Protein powder
210610	Textured protein
210610	Textured protein
210690	Flavor concentrate
210690	Flavor syrup
210690	Fondue cheese
210690	Food concentrate
210690	Liquid flavor
210690	Nicotine gum
210690	Pop corn
220110	Artificial water
220110	Artificial water
220110	Natural water
220110	Water
220210	Aerated water
220210	Aerated water
220210	Mineral water
220210	Soft drinks
220290	Non alcoholic wine
220429	Ice wine
220600	Rice wine
220900	Vinegar
230990	Animal feed
230990	Animal feeding
230990	Animal feeding
230990	Animal food
230990	Animal food
230990	Cat food
230990	Dog biscuits
230990	Dog food
230990	Dog treat
240210	Tobacco
240311	Pipe tobacco
240319	Water pipe tobacco
240319	Water pipe tobacco
240391	Homogenized tobacco
240391	Reconstituted tobacco
240399	Snuff
240399	Tobacco snuff
240399	Tobacco snuff
250100	Barium carbonate
250100	Barium sulphate
250100	Barytes
250100	Broken stone
250100	Clay
250100	Diatomaceous earth
250100	Emery
250100	Hydraulic cements
250100	Limestone granules
250100	Macadam of slag
250100	Mica
250100	Mullite
250100	Natural graphite
250100	Natural magnesium carbonat
250100	Natural magnesium sulphates
250100	Natural steatite
250100	Nepheline syenite
250100	Nepheline syenite
250100	Phosphatic chalk
250100	Portland cement
150190	Olive oil
150300	Lard stearin
150300	Oleo stearin
150890	Corn oil
150890	Crude oil
